,id,pred_label,probs
20,20,per:spouse,"[0, 7.091939e-05, 9.693531e-05, 0.00011360589, 6.246403e-05, 4.623835e-05, 6.206878e-05, 6.9141366e-05, 8.311584e-05, 7.221229e-05, 0.0033641106, 0.0001281835, 0.0001089341, 0.0012919237, 0.001130142, 4.6374014e-05, 0.0011180668, 0.99099606, 0.000109949426, 4.230657e-05, 5.37948e-05, 0.0003077591, 0.00012887384, 5.7995887e-05, 5.7600777e-05, 4.5878518e-05, 5.8166046e-05, 0.00013249487, 7.762394e-05, 6.701412e-05]"
21,21,org:top_members/employees,"[0, 0.9993961, 2.1558406e-05, 2.7151933e-05, 5.797568e-05, 3.8686187e-05, 2.744601e-05, 6.7046217e-06, 1.2772934e-05, 1.5588712e-05, 1.1228129e-05, 2.08035e-05, 1.4544475e-05, 9.976756e-06, 5.398653e-05, 1.6304954e-05, 1.7187862e-05, 1.2422338e-05, 7.342045e-06, 3.1752545e-05, 2.5568448e-05, 9.650937e-06, 2.2764656e-05, 1.1377136e-05, 2.1151754e-05, 1.5183054e-05, 7.4795457e-06, 1.1371581e-05, 6.5120184e-05, 1.0941285e-05]"
22,22,org:top_members/employees,"[0, 0.96404845, 0.0048841015, 0.003608351, 0.0004008136, 0.0016153312, 0.00021044185, 0.00035963798, 0.00027379865, 0.013805234, 0.0003652123, 0.00017226156, 7.258485e-05, 0.00026602342, 0.0002017879, 0.00012359163, 0.00033595687, 0.00022999936, 0.0005052553, 0.0008278552, 0.00092376466, 0.00018017633, 0.0020985752, 0.001311973, 0.00020799012, 0.00038545867, 8.910668e-05, 0.00018035233, 0.0020924364, 0.00022357707]"
23,23,per:employee_of,"[0, 0.0008064896, 0.00029395116, 6.6687346e-05, 0.011347287, 6.5269895e-05, 0.9558227, 0.00012866882, 0.00025657663, 0.00024156163, 0.00017820337, 0.020032143, 0.00050370354, 9.3860726e-05, 0.0018433708, 0.0051346407, 0.00021600643, 0.00020641692, 9.2045295e-05, 0.000113328264, 8.4218416e-05, 0.000103995866, 7.4322495e-05, 0.000259411, 0.00021432547, 0.0001695454, 0.00058975234, 0.00065184076, 0.00012854322, 0.00028117577]"
24,24,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,25,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,26,org:top_members/employees,"[0, 0.9865041, 0.00068771053, 0.0030372858, 0.0018296567, 0.0013425328, 3.756758e-05, 0.00016681146, 9.0296126e-05, 0.00045655083, 0.00014415197, 9.763339e-05, 3.5917317e-05, 8.941862e-05, 0.00014323983, 7.3697556e-05, 0.00010955799, 8.8722765e-05, 0.000108123095, 0.00034019214, 0.0011652742, 7.7916186e-05, 0.00034357255, 0.00016089166, 8.933133e-05, 0.00014974801, 4.430868e-05, 9.7728785e-05, 0.0024215353, 6.664525e-05]"
27,27,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,28,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,29,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,30,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,31,org:place_of_headquarters,"[0, 0.00017902382, 0.0016838731, 0.00022319345, 4.0224524e-05, 0.0003740754, 4.3408214e-05, 0.9617484, 6.762706e-05, 0.00015597588, 9.945948e-05, 0.00020690898, 3.8420014e-05, 6.434141e-05, 5.8698057e-05, 9.999512e-05, 9.611742e-05, 6.484605e-05, 8.841791e-05, 0.00022029715, 0.033689637, 8.7302506e-05, 0.00013707814, 5.568285e-05, 6.567453e-05, 6.471952e-05, 0.0001007794, 0.00011414227, 8.83316e-05, 4.3238982e-05]"
32,32,per:origin,"[0, 0.0005441746, 0.0005383603, 0.00025085022, 0.0017185454, 0.00026135295, 0.0506388, 0.0012914592, 0.0006100422, 0.0005223065, 0.0009774661, 0.34876752, 0.0055770692, 0.001301747, 0.0024942197, 0.4391646, 0.0009393317, 0.00076703465, 0.00029470914, 0.0003189679, 0.00025654832, 0.00038250096, 0.0003469133, 0.0011982012, 0.0010675251, 0.0005117042, 0.12484361, 0.01236119, 0.00070835266, 0.0013448736]"
33,33,org:members,"[0, 0.0033147028, 0.9802632, 0.0012791804, 2.9762004e-05, 0.0010698395, 0.00030242585, 0.006868073, 8.019358e-05, 0.00058365316, 0.00019511784, 0.00012603909, 6.130669e-05, 0.00015701141, 0.00010971873, 7.697094e-05, 0.000113201575, 0.00010500151, 0.00019770722, 0.00093040074, 0.0022340962, 7.7650424e-05, 0.00022645119, 0.00031987406, 0.00010582505, 0.00014275128, 8.628759e-05, 0.00012275921, 0.0007360076, 8.478406e-05]"
34,34,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,35,per:title,"[0, 0.00040932078, 2.7530115e-05, 6.1737876e-05, 0.9919897, 7.436109e-05, 0.0022127673, 1.998472e-05, 0.0003882948, 3.1226187e-05, 3.966681e-05, 0.00019323148, 0.0003153733, 4.4773147e-05, 0.0016315924, 0.0012881773, 0.00010561104, 0.00011455576, 5.8623744e-05, 5.7827703e-05, 5.0933195e-05, 0.00021386164, 6.665685e-05, 4.7059526e-05, 6.721246e-05, 0.00015647408, 7.24614e-05, 5.5449673e-05, 0.00015178026, 5.379617e-05]"
36,36,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,37,org:product,"[0, 0.000114520335, 0.0012178314, 0.99635446, 7.102488e-05, 0.0003391718, 2.6669964e-05, 5.3874814e-05, 0.00034283486, 0.00011044277, 5.572085e-05, 3.5818335e-05, 6.295528e-05, 3.7390946e-05, 3.6524787e-05, 1.50925625e-05, 7.651548e-05, 7.446978e-05, 5.226827e-05, 8.0128826e-05, 0.00022038023, 2.880896e-05, 8.2009006e-05, 4.1998737e-05, 7.8751844e-05, 5.701439e-05, 4.1998737e-05, 8.436472e-05, 0.000116309566, 9.066495e-05]"
38,38,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,39,org:top_members/employees,"[0, 0.9628074, 0.007336782, 0.003022794, 0.001321851, 0.0007824064, 0.00029379496, 0.00023037722, 0.00027065663, 0.016469233, 0.00027357973, 0.00022350742, 6.224787e-05, 0.00020450194, 0.00016512623, 0.00014903351, 0.00040729687, 0.00020996579, 0.0003200033, 0.0005184032, 0.00133352, 0.00019666759, 0.0012861963, 0.0003550772, 0.0002328653, 0.00029624384, 0.00010682194, 0.00020133142, 0.0007526166, 0.0001697037]"
40,40,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,41,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,42,per:employee_of,"[0, 0.00016605211, 0.0001169464, 5.209776e-05, 0.0034782824, 8.021918e-05, 0.9644313, 6.1206585e-05, 0.0030102024, 0.00020201594, 0.00010847508, 0.00096399954, 0.0005131024, 0.00015178393, 0.0014670555, 0.022242555, 0.00012932152, 0.00014964977, 0.00015538337, 0.00023365705, 7.1837814e-05, 0.0001790199, 0.000109219145, 0.00019623125, 0.00013799853, 9.08115e-05, 0.00026603162, 0.00017487293, 0.00016916194, 0.00089155376]"
43,43,org:member_of,"[0, 0.00039187766, 0.00053302426, 0.00051511347, 0.0001395919, 0.00042777453, 0.000111727946, 0.05659104, 9.01273e-05, 0.00026609804, 0.00012641904, 0.00014089298, 7.977043e-05, 7.663959e-05, 0.00016780544, 8.047463e-05, 0.0001510823, 0.000121161174, 0.00014968714, 0.00024703352, 0.9386517, 0.00016706962, 0.00015234161, 8.0004465e-05, 0.00012312928, 0.00012482425, 6.9509086e-05, 5.853252e-05, 0.00011421008, 5.1302868e-05]"
44,44,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,45,per:title,"[0, 8.350201e-05, 1.6456075e-05, 5.0220202e-05, 0.9969078, 3.585573e-05, 0.00040418253, 1.8073464e-05, 0.00016442468, 1.6895749e-05, 2.7531842e-05, 9.200897e-05, 0.00020165415, 2.2122456e-05, 0.0007851927, 0.0002687183, 7.538026e-05, 0.0003511599, 2.2735714e-05, 2.236138e-05, 2.571267e-05, 0.00010950371, 3.9035218e-05, 2.394345e-05, 2.835037e-05, 5.7563695e-05, 3.7705136e-05, 3.7558137e-05, 3.378217e-05, 4.0768973e-05]"
46,46,org:top_members/employees,"[0, 0.9988863, 4.9388782e-05, 3.3032822e-05, 8.7370514e-05, 3.4660385e-05, 3.1612617e-05, 2.6029236e-05, 1.7271612e-05, 5.2683303e-05, 2.9222621e-05, 4.228445e-05, 7.9113815e-06, 1.3616349e-05, 8.0450205e-05, 2.133801e-05, 2.3446664e-05, 3.057275e-05, 1.8959892e-05, 5.379457e-05, 3.054291e-05, 1.684682e-05, 8.660598e-05, 2.3264201e-05, 2.3378072e-05, 1.7466673e-05, 1.1692265e-05, 2.2780836e-05, 0.00021216515, 1.5264488e-05]"
47,47,per:title,"[0, 0.0038687252, 0.00037272339, 0.0005829504, 0.6017247, 0.0003377155, 0.19157296, 0.00025269034, 0.005033465, 0.0010371938, 0.00053703913, 0.00206258, 0.004518583, 0.000795244, 0.161952, 0.008206103, 0.0059919986, 0.0020522831, 0.0006151174, 0.00046025193, 0.00057167513, 0.0016702265, 0.00062663725, 0.00041256717, 0.00075145287, 0.0005909752, 0.000415803, 0.0008293491, 0.0012911237, 0.000865762]"
48,48,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,49,org:members,"[0, 0.0125420755, 0.9451603, 0.010296698, 0.0002627286, 0.00965398, 0.00026440163, 0.0018228076, 0.00018639347, 0.0015922118, 0.00024121108, 0.00012307831, 9.227146e-05, 0.00017960329, 0.00015407355, 0.00013583672, 0.00024003616, 0.00013838067, 0.00019514801, 0.0018788342, 0.012275489, 0.000120933735, 0.00038022015, 0.0004345432, 0.00014152398, 0.00024874645, 0.000113717724, 0.00017407748, 0.0008266338, 0.00012404362]"
50,50,org:product,"[0, 0.00010225386, 0.00036760155, 0.9957948, 0.00023077041, 0.00030985396, 4.234569e-05, 3.758955e-05, 0.0014510554, 0.00010022714, 7.1193244e-05, 3.8972605e-05, 0.00012223255, 5.0434297e-05, 4.20983e-05, 2.2033113e-05, 8.055443e-05, 0.00010723964, 7.780963e-05, 6.194444e-05, 0.000108318476, 4.4988803e-05, 0.000112592155, 4.807777e-05, 9.6293414e-05, 7.83051e-05, 5.4505857e-05, 9.5824376e-05, 0.00013165768, 0.000118341755]"
51,51,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,52,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,53,per:colleagues,"[0, 0.0012894425, 0.0008708843, 0.0007226939, 0.0020632918, 0.00028163244, 0.009510334, 0.00037676384, 0.0041184, 0.0006383982, 0.0029232365, 0.0006118467, 0.005986388, 0.010293169, 0.89980996, 0.00079955877, 0.04586127, 0.0041608475, 0.00032226316, 0.0009184908, 0.00061005686, 0.0023730958, 0.00082857267, 0.000661564, 0.0007547924, 0.00024564422, 0.00025869298, 0.0009661015, 0.0009703565, 0.0007723146]"
54,54,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,55,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,56,org:top_members/employees,"[0, 0.7354716, 0.0035174577, 0.006456971, 0.0021877747, 0.0113212755, 0.00028788584, 0.0020452132, 0.00066058803, 0.0036952747, 0.00094440236, 0.00030170177, 0.00016371235, 0.00065994327, 0.00054791424, 0.00031648966, 0.0005489854, 0.0004974221, 0.002376547, 0.0021702196, 0.0025910789, 0.00089109124, 0.0013082951, 0.0020967834, 0.0003149481, 0.00077117526, 0.00037584078, 0.00036713446, 0.21655741, 0.00055491447]"
57,57,per:title,"[0, 0.0001784297, 1.603104e-05, 2.980404e-05, 0.9971064, 3.1788262e-05, 0.00069036614, 1.4300135e-05, 9.055633e-05, 1.911184e-05, 1.872389e-05, 8.816752e-05, 7.917287e-05, 1.896311e-05, 0.0007611865, 0.0002690344, 5.2795258e-05, 6.609894e-05, 2.2040598e-05, 2.747018e-05, 3.2557993e-05, 0.000110897774, 2.9442432e-05, 2.1530028e-05, 3.2669464e-05, 4.1927946e-05, 2.9413695e-05, 3.447215e-05, 4.7557005e-05, 3.9100232e-05]"
58,58,per:date_of_birth,"[0, 2.0297593e-05, 1.7058937e-05, 2.8008091e-05, 2.488128e-05, 2.4814552e-05, 1.1187525e-05, 1.0944387e-05, 1.5032424e-05, 2.7738444e-05, 2.0169164e-05, 1.5608368e-05, 2.273778e-05, 6.2725694e-06, 4.5712186e-06, 3.402529e-05, 1.4149264e-05, 1.2444075e-05, 7.73163e-05, 1.9320874e-05, 4.0317344e-05, 2.9869097e-05, 2.097261e-05, 3.1833355e-05, 0.00016447977, 0.99919146, 6.866588e-05, 1.1856839e-05, 1.4149264e-05, 1.9817724e-05]"
59,59,org:top_members/employees,"[0, 0.9920799, 0.0011236705, 0.00053625496, 8.029312e-05, 0.00032036882, 0.00013371273, 0.00012047541, 0.00013430163, 0.00048210617, 0.00014753749, 9.943967e-05, 5.173998e-05, 6.754759e-05, 4.5883866e-05, 7.587167e-05, 6.192465e-05, 5.822966e-05, 0.00011284508, 0.00025941094, 8.809866e-05, 3.7669397e-05, 0.0009082005, 0.00015412802, 0.000108681146, 5.0937826e-05, 4.99526e-05, 0.00010953354, 0.002420995, 8.037157e-05]"
60,60,per:title,"[0, 0.00014982147, 1.3303906e-05, 3.2401167e-05, 0.99716055, 3.3380755e-05, 0.00056514435, 1.4856079e-05, 0.00010751788, 1.9281602e-05, 2.1197386e-05, 0.00010492472, 7.5702555e-05, 1.9375982e-05, 0.0006904036, 0.00036702884, 5.3603388e-05, 7.2074035e-05, 2.2236378e-05, 2.7271197e-05, 3.7220743e-05, 0.00012533342, 3.2895347e-05, 1.8834946e-05, 2.9058403e-05, 4.8877995e-05, 3.4457193e-05, 3.4105677e-05, 5.1726376e-05, 3.7476053e-05]"
61,61,per:employee_of,"[0, 0.0048005967, 0.011708813, 0.0031637182, 0.005739954, 0.0004478352, 0.85355014, 0.0012286884, 0.066855215, 0.00067821494, 0.0006061694, 0.010536791, 0.005585128, 0.00064400496, 0.0032649427, 0.007327188, 0.0005251084, 0.0006618575, 0.0004478352, 0.0007347588, 0.00030095602, 0.0006586336, 0.0004625024, 0.0045606755, 0.00076402834, 0.00046024958, 0.0010231045, 0.005135222, 0.0026905907, 0.0054371334]"
62,62,per:employee_of,"[0, 0.0014373094, 0.0006511761, 0.00018876424, 0.012084495, 0.00018583774, 0.6982407, 0.00038505628, 0.0005834255, 0.0005624463, 0.0008198545, 0.25686842, 0.0013608172, 0.00031061238, 0.0050820378, 0.011176331, 0.0008085244, 0.00047967848, 0.00022460135, 0.00025351442, 0.00018876424, 0.00022220153, 0.00021832979, 0.00069368124, 0.0004936983, 0.00038750825, 0.002552915, 0.0025893217, 0.00041431712, 0.00053564284]"
63,63,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,64,per:employee_of,"[0, 0.00068769156, 0.00023023538, 0.00010196697, 0.00800587, 0.00013299003, 0.7596892, 0.0003353178, 0.00035694393, 0.0003422654, 0.00044292436, 0.13357033, 0.0011443794, 0.0003071045, 0.004512868, 0.08038404, 0.0005582709, 0.0003735265, 0.00021045217, 0.00022644464, 0.00036221108, 0.00021127585, 0.00019673856, 0.00057754124, 0.00038689186, 0.00027128356, 0.0044299047, 0.0010933082, 0.0003920262, 0.00046599752]"
65,65,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,66,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67,67,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,68,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,69,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,70,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,71,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,72,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,73,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,74,no_relation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
